architecture,model,arch_key,metric,correct_value,misspelled_value,absolute_degradation,percentage_degradation,robustness_score
pure_llm,qwen,pure_llm_qwen,accuracy,0.6055555555555555,0.6166666666666667,-0.011111111111111183,-1.8348623853211128,1.0183486238532111
pure_llm,qwen,pure_llm_qwen,f1_score,0.45801526717557256,0.4651162790697674,-0.00710101189419482,-1.5503875968992022,1.015503875968992
pure_llm,qwen,pure_llm_qwen,precision,0.7317073170731707,0.7692307692307693,-0.03752345215759856,-5.128205128205137,1.0512820512820513
pure_llm,qwen,pure_llm_qwen,sensitivity,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
pure_llm,qwen,pure_llm_qwen,specificity,0.8777777777777778,0.9,-0.022222222222222254,-2.531645569620257,1.0253164556962027
format_a,qwen,format_a_qwen,accuracy,0.8277777777777777,0.8222222222222222,0.005555555555555536,0.6711409395973131,0.9932885906040269
format_a,qwen,format_a_qwen,f1_score,0.8121212121212122,0.7894736842105263,0.022647527910685916,2.7886881382561013,0.972113118617439
format_a,qwen,format_a_qwen,precision,0.8933333333333333,0.967741935483871,-0.07440860215053768,-8.329321136254219,1.0832932113625422
format_a,qwen,format_a_qwen,sensitivity,0.7444444444444445,0.6666666666666666,0.07777777777777783,10.447761194029859,0.8955223880597014
format_a,qwen,format_a_qwen,specificity,0.9111111111111111,0.9777777777777777,-0.06666666666666665,-7.317073170731706,1.0731707317073171
format_b,qwen,format_b_qwen,accuracy,0.9444444444444444,0.5,0.4444444444444444,47.05882352941176,0.5294117647058824
format_b,qwen,format_b_qwen,f1_score,0.9473684210526316,0.0,0.9473684210526316,100.0,0.0
format_b,qwen,format_b_qwen,precision,0.9,0.0,0.9,100.0,0.0
format_b,qwen,format_b_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,specificity,0.8888888888888888,1.0,-0.11111111111111116,-12.500000000000005,1.125
graphrag,qwen,graphrag_qwen,accuracy,1.0,0.5,0.5,50.0,0.5
graphrag,qwen,graphrag_qwen,f1_score,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,precision,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,specificity,1.0,1.0,0.0,0.0,1.0
