architecture,model,arch_key,metric,correct_value,misspelled_value,absolute_degradation,percentage_degradation,robustness_score
pure_llm,qwen,pure_llm_qwen,accuracy,0.6055555555555555,0.6277777777777778,-0.022222222222222254,-3.6697247706422074,1.036697247706422
pure_llm,qwen,pure_llm_qwen,f1_score,0.44961240310077527,0.48854961832061067,-0.0389372152198354,-8.660173729928907,1.086601737299289
pure_llm,qwen,pure_llm_qwen,precision,0.7435897435897436,0.7804878048780488,-0.036898061288305195,-4.96215306980656,1.0496215306980656
pure_llm,qwen,pure_llm_qwen,sensitivity,0.32222222222222224,0.35555555555555557,-0.033333333333333326,-10.344827586206893,1.103448275862069
pure_llm,qwen,pure_llm_qwen,specificity,0.8888888888888888,0.9,-0.011111111111111183,-1.250000000000008,1.0125000000000002
format_a,qwen,format_a_qwen,accuracy,0.9,0.5,0.4,44.44444444444445,0.5555555555555556
format_a,qwen,format_a_qwen,f1_score,0.888888888888889,0.0,0.888888888888889,100.0,0.0
format_a,qwen,format_a_qwen,precision,1.0,0.0,1.0,100.0,0.0
format_a,qwen,format_a_qwen,sensitivity,0.8,0.0,0.8,100.0,0.0
format_a,qwen,format_a_qwen,specificity,1.0,1.0,0.0,0.0,1.0
format_b,qwen,format_b_qwen,accuracy,1.0,0.5,0.5,50.0,0.5
format_b,qwen,format_b_qwen,f1_score,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,precision,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
format_b,qwen,format_b_qwen,specificity,1.0,1.0,0.0,0.0,1.0
graphrag,qwen,graphrag_qwen,accuracy,1.0,0.5,0.5,50.0,0.5
graphrag,qwen,graphrag_qwen,f1_score,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,precision,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,sensitivity,1.0,0.0,1.0,100.0,0.0
graphrag,qwen,graphrag_qwen,specificity,1.0,1.0,0.0,0.0,1.0
